brand,product_links
tarte,https://www.sephora.com/product/tarte-tartelette-trade-juicy-amazonian-clay-eyeshadow-palette-P468416?icid2=products
tarte,https://www.sephora.com/product/bb-tinted-treatment-12-hour-primer-broad-spectrum-spf-30-sunscreen-P377542?icid2=products
tarte,https://www.sephora.com/product/lights-camera-lashes-P111902?icid2=products
tarte,https://www.sephora.com/product/tarte-sea-breezy-cream-bronzer-P456601?icid2=products
tarte,https://www.sephora.com/product/amazonian-clay-bb-tinted-moisturizer-broad-spectrum-spf-20-sunscreen-P67617?icid2=products
tarte,https://www.sephora.com/product/tarte-maracuja-tinted-hydrator-P456371?icid2=products
tarte,https://www.sephora.com/product/mini-creaseless-under-eye-concealer-P447364?icid2=products
taste-beauty,https://www.sephora.com/product/taste-beauty-succulent-lip-balm-P452693?icid2=products
tata-harper,https://www.sephora.com/product/regenerating-cleanser-P379710?icid2=products
tata-harper,https://www.sephora.com/product/clarifying-cleanser-P429954?icid2=products
tata-harper,https://www.sephora.com/product/resurfacing-mask-P379707?icid2=products
tata-harper,https://www.sephora.com/product/tata-harper-water-lock-moisturizer-with-skin-smoothing-peptides-P458917?icid2=products
tata-harper,https://www.sephora.com/product/re-storative-eye-creme-P386739?icid2=products
tata-harper,https://www.sephora.com/product/concentrated-brightening-essence-P449408?icid2=products
tata-harper,https://www.sephora.com/product/resurfacing-serum-P432048?icid2=products
tata-harper,https://www.sephora.com/product/repairative-moisturizer-P379709?icid2=products
tata-harper,https://www.sephora.com/product/purifying-cleanser-P392144?icid2=products
tata-harper,https://www.sephora.com/product/hydrating-floral-essence-P379705?icid2=products
tata-harper,https://www.sephora.com/product/creme-riche-velvet-moisturizing-cream-P422848?icid2=products
tata-harper,https://www.sephora.com/product/tatas-daily-essentials-P392143?icid2=products
tatcha,https://www.sephora.com/product/the-dewy-skin-cream-P441101?icid2=products
tatcha,https://www.sephora.com/product/the-water-cream-P418218?icid2=products
tatcha,https://www.sephora.com/product/the-deep-cleanse-P427536?icid2=products
tatcha,https://www.sephora.com/product/tatcha-the-rice-wash-skin-softening-cleanser-P461537?icid2=products
tatcha,https://www.sephora.com/product/violet-c-brightening-serum-vitamin-c-aha-P439058?icid2=products
tatcha,https://www.sephora.com/product/tatcha-the-liquid-silk-canvas-featherweight-protective-primer-P456446?icid2=products
tatcha,https://www.sephora.com/product/tatcha-the-dewy-serum-resurfacing-plumping-treatment-P466155?icid2=products
tatcha,https://www.sephora.com/product/tatcha-the-silk-powder-protective-setting-powder-P469546?icid2=products
tatcha,https://www.sephora.com/product/the-essence-plumping-skin-softener-P415771?icid2=products
tatcha,https://www.sephora.com/product/silken-pore-perfecting-sunscreen-broad-spectrum-spf-35-P408206?icid2=products
tatcha,https://www.sephora.com/product/the-silk-peony-melting-eye-cream-P447780?icid2=products
tatcha,https://www.sephora.com/product/tatcha-ritual-for-radiance-P462750?icid2=products
tocca,https://www.sephora.com/product/florence-P38221?icid2=products
tocca,https://www.sephora.com/product/tocca-mini-perfume-collection-set-P470553?icid2=products
tocca,https://www.sephora.com/product/tocca-discovery-collection-P456174?icid2=products
tocca,https://www.sephora.com/product/stella-P38220?icid2=products
tocca,https://www.sephora.com/product/cleopatra-P54900?icid2=products
tocca,https://www.sephora.com/product/florence-hair-fragrance-P419232?icid2=products
tocca,https://www.sephora.com/product/colette-collection-P270025?icid2=products
tocca,https://www.sephora.com/product/giulietta-P234438?icid2=products
tocca,https://www.sephora.com/product/florence-travel-spray-P392935?icid2=products
tocca,https://www.sephora.com/product/crema-veloce-hand-cream-set-P449745?icid2=products
tocca,https://www.sephora.com/product/gia-P440917?icid2=products
