pd_id,size_and_item,category,price,love_count,reviews_count
P469215,,"Hair, Hair Styling & Treatments, Hair Masks",$69.00,597,57
P453923,,"Hair, Hair Styling & Treatments, Hair Oil",$28.00,4.3K,249
P403936,,"Hair, Shampoo & Conditioner, Shampoo",$49.00,2.3K,187
P403930,,"Hair, Hair Styling & Treatments, Scalp & Hair Treatments",$69.00,3.2K,29
P470563,,"Hair, Value & Gift Sets",$79.00 ($108.00 value),157,
P469217,,"Hair, Shampoo & Conditioner, Conditioner",$59.00,379,56
P470564,,"Hair, Value & Gift Sets",$79.00 ($108.00 value),121,
P375849,,"Skincare, Moisturizers, Mists & Essences",$185.00 ($214.00 value),92.8K,1.1K
P469534,Format 7.7 oz/ 230 mL,"Skincare, Moisturizers, Mists & Essences",$247.00,1.6K,
P375852,,"Skincare, Masks, Sheet Masks",$139.00 ($170.00 value),56.8K,410
P447773,,"Skincare, Value & Gift Sets",$99.00 ($131.00 value),18K,54
P426183,,"Skincare, Moisturizers, Mists & Essences",$99.00,37.6K,137
P410756,,"Skincare, Moisturizers, Mists & Essences",$245.00,13.9K,127
P375853,,"Skincare, Cleansers, Toners",$76.00,20.5K,194
P468411,,"Skincare, Moisturizers, Moisturizers",$235.00,441,2
P468412,,"Skincare, Value & Gift Sets",$110.00 ($155.00 value),1.3K,3
P375850,,"Skincare, Cleansers, Face Wash & Cleansers",$75.00,12K,106
P375854,,"Skincare, Moisturizers, Moisturizers",$385.00,2.1K,58
P410755,,"Skincare, Moisturizers, Mists & Essences",$225.00,4.3K,100
P416589,,"Skincare, Masks, Sheet Masks",$12.00,2.2K,8
P416312,,"Skincare, Cleansers, Face Wash & Cleansers",$20.00,7.2K,194
P416588,,"Skincare, Masks, Sheet Masks",$15.00,1.7K,4
P442840,,"Skincare, Moisturizers, Moisturizers",$50.00,60K,809
P442845,,"Bath & Body, Body Moisturizers, Body Lotions & Body Oils",$45.00,33K,460
P442838,,"Skincare, Eye Care, Eye Creams & Treatments",$40.00,23.7K,788
P442844,,"Bath & Body, Bath & Shower, Scrub & Exfoliants",$30.00,29.9K,481
P442839,,"Skincare, Moisturizers, Moisturizers",$38.00,9.1K,502
P442836,,"Skincare, Cleansers, Face Wash & Cleansers",$28.00,20.4K,740
P442842,,"Bath & Body, Body Moisturizers, Hand Cream & Foot Cream",$18.00,16K,193
P450599,,"Bath & Body, Body Moisturizers, Body Lotions & Body Oils",$45.00,6.3K,126
P442837,,"Skincare, Treatments, Face Serums",$50.00,13K,387
P442850,,"Skincare, Masks, Face Masks",$50.00,12.6K,220
P442843,,"Skincare, Moisturizers, Moisturizers",$28.00,9K,231
P442846,,"Bath & Body, Body Moisturizers, Body Lotions & Body Oils",$34.00,4.6K,25
P456975,,"Fragrance, Women, Perfume",$78.00,2.7K,157
P447525,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$29.00,8.9K,66
P467146,,"Fragrance, Women, Perfume",$78.00,4K,123
P456976,,"Mini Size, Fragrance",$29.00,870,8
P447536,,"Fragrance, Women, Perfume",$78.00,2.4K,39
P462740,,"Bath & Body, Bath & Shower, Hand Sanitizer & Hand Soap",$12.00,1.4K,116
P447530,,"Fragrance, Women, Perfume",$78.00,1.8K,21
P467147,,"Fragrance, Women, Rollerballs & Travel Size",$29.00,4.3K,123
P466444,,"Bath & Body, Bath & Shower, Hand Sanitizer & Hand Soap",$5.00,1.4K,116
P461201,,"Fragrance, Women, Perfume",$78.00,514,89
P447533,,"Fragrance, Women, Perfume",$78.00,817,13
P447535,,"Fragrance, Women, Rollerballs & Travel Size",$29.00,1.6K,13
P402944,,"Skincare, Wellness, Holistic Wellness",$89.00,113.8K,374
P431718,Format 6 pack,"Hair, Hair Tools, Hair Accessories",$39.00,59.4K,449
P402943,,"Skincare, Wellness, Holistic Wellness",$110.00,22K,79
P402942,,"Skincare, Wellness, Holistic Wellness",$50.00,38.9K,154
P468413,,"Tools & Brushes, Hair Tools, Hair Accessories",$49.00 ($58.50 value),2.8K,2
P430325,,"Hair, Hair Tools, Hair Accessories",$39.00,27.9K,92
P467264,,"Hair, Hair Tools, Hair Accessories",$39.00,3.8K,18
P454754,,"Hair, Hair Tools, Hair Accessories",$85.00,10.8K,33
P444163,,"Hair, Hair Tools, Hair Accessories",$178.00 ($209.00 value),1.7K,3
P446866,,"Hair, Hair Tools, Hair Accessories",$45.00,4.5K,19
P430959,,"Skincare, Wellness, Holistic Wellness",$124.00,18.3K,15
P441823,,"Hair, Hair Tools, Hair Accessories",$69.00,15.2K,21
P9889,,"Makeup, Face, Face Primer",$37.00,222.1K,7.4K
P292403,Format 1 oz/ 30 mL,"Makeup, Face, Foundation",$38.00,95.4K,3.1K
P409317,Size 0.13 oz/ 3.84 mL,"Makeup, Lip, Lipstick",$24.00,289.1K,2.6K
P460019,Size 1.4 fl oz/ 40mL,"Makeup, Face, Foundation",$36.00,15.3K,495
P429909,,"Makeup, Makeup Palettes",$39.00,52.4K,447
P456373,,"Makeup, Face, Face Primer",$39.00,11.3K,585
P447362,,"Makeup, Face, Face Primer",$39.00,15.2K,473
P387426,Format 0.40 oz/ 11 g,"Makeup, Face, Contour",$35.00,116.8K,1.4K
P78811,,"Makeup, Face, Face Primer",$39.00,58.9K,2.4K
P380998,Size 0.01 oz/ 0.28 g,"Makeup, Eye, Eyeliner",$22.00,30.8K,1.2K
P456374,Format 0.35 oz/ 9.9 g,"Makeup, Face, Setting Spray & Powder",$42.00,4.5K,496
P422463,,"Mini Size, Makeup",$14.00,53.9K,7.4K
P447213,,"Skincare, Treatments, Face Serums",$105.00,4.4K,134
P451749,,"Skincare, Moisturizers, Moisturizers",$75.00,3.7K,113
P451746,,"Skincare, Treatments, Face Serums",$105.00,1.2K,220
P451747,,"Skincare, Moisturizers, Moisturizers",$75.00,1.4K,12
P451745,,"Skincare, Treatments, Facial Peels",$46.00,2.9K,20
P451748,,"Skincare, Treatments, Face Serums",$75.00,1.4K,130
P451744,,"Skincare, Cleansers, Face Wash & Cleansers",$42.00,1.1K,6
P451750,,"Skincare, Eye Care, Eye Creams & Treatments",$65.00,1.5K,3
P406080,,"Bath & Body, Body Moisturizers, Body Lotions & Body Oils",$45.00,291.1K,7.2K
P470125,,"Bath & Body, Body Moisturizers, Body Lotions & Body Oils",$45.00,16.8K,390
P444048,,"Bath & Body, Value & Gift Sets",$25.00 ($33.00 value),83.4K,380
P417312,Size 3.04 oz/ 90 mL,"Fragrance, Women, Body Mist & Hair Mist",$19.00,73.9K,1K
P421481,Format 3.04 oz/ 90 mL,"Mini Size, Fragrance",$19.00,65.8K,610
P470126,,"Bath & Body, Mini Size",$20.00,11.1K,40
P425318,,"Mini Size, Bath & Body",$20.00,110.9K,7.1K
P411862,,"Bath & Body, Bath & Shower, Body Wash & Shower Gel",$25.00,74.4K,940
P448211,,"Bath & Body, Body Moisturizers, Body Lotions & Body Oils",$45.00,27.1K,1.6K
P456223,,"Fragrance, Women, Perfume",$78.00,26.8K,435
P459306,,"Bath & Body, Bath & Shower, Scrub & Exfoliants",$42.00,37K,292
P454098,,"Hair, Value & Gift Sets",$45.00,33.2K,282
P469541,,"Bath & Body, Value & Gift Sets",$55.00,4.9K,680
P432262,,"Skincare, Self Tanners, For Face",$30.00,22.3K,289
P407450,,"Skincare, Self Tanners, For Body",$32.00,23.4K,476
P407448,,"Bath & Body, Self Tanners",$44.00,18K,372
P456400,,"Skincare, Self Tanners, For Body",$7.50,14.7K,350
P456206,,"Skincare, Self Tanners, For Body",$42.00,7.2K,385
P442746,,"Skincare, Self Tanners, For Body",$25.00,8.4K,732
P407202,,"Skincare, Self Tanners, For Body",$30.00,7.8K,130
P429683,,"Skincare, Self Tanners, For Body",$42.00,7.7K,142
P456204,,"Skincare, Value & Gift Sets",$25.00,5.3K,16
P407452,,"Bath & Body, Self Tanners",$44.00,7K,212
P409603,,"Bath & Body, Self Tanners",$25.00,5.3K,44
P441054,,"Tools & Brushes, High Tech Tools, Hair Removal",$75.00,21.8K,254
P462894,,"Skincare, Value & Gift Sets",$85.00 ($142.00 value),4K,13
P441046,,"Skincare, Value & Gift Sets",$23.50,8.1K,63
P441049,,"Skincare, High Tech Tools, Anti-Aging",$125.00,7.6K,119
P441053,,"Skincare, Treatments, Face Serums",$130.00,2.9K,22
P446907,,"Skincare, Lip Treatments, Lip Balms & Treatments",$28.00,5K,69
P441050,,"Skincare, High Tech Tools, Anti-Aging",$50.00,1.6K,18
P441051,,"Skincare, Treatments, Face Serums",$150.00,1.6K,42
P253818,Size 0.016 oz/ 0.5 mL,"Makeup, Eye, Eyeliner",$22.00,349.3K,10.9K
